credit_risk,age,amount,credit_history,duration,employment_duration,foreign_worker,housing,installment_rate,job,number_credits,other_debtors,other_installment_plans,people_liable,personal_status_sex,present_residence,property,purpose,savings,status,telephone
good,67,1169,all credits at this bank paid back duly,6,>= 7 yrs,no,rent,< 20,skilled employee/official,2-3,none,none,0 to 2,male : married/widowed,>= 7 yrs,unknown / no property,furniture/equipment,... >= 1000 DM,no checking account,yes (under customer name)
bad,22,5951,no credits taken/all credits paid back duly,48,1 <= ... < 4 yrs,no,rent,25 <= ... < 35,skilled employee/official,1,none,none,0 to 2,female : non-single or male : single,1 <= ... < 4 yrs,unknown / no property,furniture/equipment,unknown/no savings account,... < 0 DM,no
good,49,2096,all credits at this bank paid back duly,12,4 <= ... < 7 yrs,no,rent,25 <= ... < 35,unskilled - resident,1,none,none,3 or more,male : married/widowed,4 <= ... < 7 yrs,unknown / no property,repairs,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,45,7882,no credits taken/all credits paid back duly,42,4 <= ... < 7 yrs,no,own,25 <= ... < 35,skilled employee/official,1,guarantor,none,3 or more,male : married/widowed,>= 7 yrs,car or other,car (used),unknown/no savings account,no checking account,no
bad,53,4870,existing credits paid back duly till now,24,1 <= ... < 4 yrs,no,own,20 <= ... < 25,skilled employee/official,2-3,none,none,3 or more,male : married/widowed,>= 7 yrs,real estate,others,unknown/no savings account,no checking account,no
good,35,9055,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,no,own,25 <= ... < 35,unskilled - resident,1,none,none,3 or more,male : married/widowed,>= 7 yrs,real estate,repairs,... >= 1000 DM,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,53,2835,no credits taken/all credits paid back duly,24,>= 7 yrs,no,rent,20 <= ... < 25,skilled employee/official,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,car or other,car (used),100 <= ... < 500 DM,... >= 200 DM / salary for at least 1 year,no
good,35,6948,no credits taken/all credits paid back duly,36,1 <= ... < 4 yrs,no,for free,25 <= ... < 35,manager/self-empl/highly qualif. employee,1,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,car (new),unknown/no savings account,... < 0 DM,yes (under customer name)
good,61,3059,no credits taken/all credits paid back duly,12,4 <= ... < 7 yrs,no,rent,25 <= ... < 35,unskilled - resident,1,none,none,0 to 2,male : divorced/separated,>= 7 yrs,unknown / no property,furniture/equipment,500 <= ... < 1000 DM,... >= 200 DM / salary for at least 1 year,no
bad,28,5234,all credits at this bank paid back duly,30,unemployed,no,rent,< 20,manager/self-empl/highly qualif. employee,2-3,none,none,0 to 2,female : single,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,others,unknown/no savings account,... < 0 DM,no
bad,25,1295,no credits taken/all credits paid back duly,12,< 1 yr,no,for free,20 <= ... < 25,skilled employee/official,1,none,none,0 to 2,female : non-single or male : single,< 1 yr,building soc. savings agr. / life insurance,others,unknown/no savings account,... < 0 DM,no
bad,24,4308,no credits taken/all credits paid back duly,48,< 1 yr,no,for free,20 <= ... < 25,skilled employee/official,1,none,none,0 to 2,female : non-single or male : single,>= 7 yrs,car or other,retraining,unknown/no savings account,no checking account,no
good,22,1567,no credits taken/all credits paid back duly,12,1 <= ... < 4 yrs,no,rent,>= 35,skilled employee/official,1,none,none,0 to 2,female : non-single or male : single,< 1 yr,building soc. savings agr. / life insurance,furniture/equipment,unknown/no savings account,... < 0 DM,yes (under customer name)
bad,60,1199,all credits at this bank paid back duly,24,>= 7 yrs,no,rent,< 20,unskilled - resident,2-3,none,none,0 to 2,male : married/widowed,>= 7 yrs,building soc. savings agr. / life insurance,others,unknown/no savings account,no checking account,no
good,28,1403,no credits taken/all credits paid back duly,15,1 <= ... < 4 yrs,no,for free,25 <= ... < 35,skilled employee/official,1,none,none,0 to 2,female : non-single or male : single,>= 7 yrs,building soc. savings agr. / life insurance,others,unknown/no savings account,no checking account,no
bad,32,1282,no credits taken/all credits paid back duly,24,1 <= ... < 4 yrs,no,rent,< 20,unskilled - resident,1,none,none,0 to 2,female : non-single or male : single,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,furniture/equipment,... < 100 DM,no checking account,no
good,53,2424,all credits at this bank paid back duly,24,>= 7 yrs,no,rent,< 20,skilled employee/official,2-3,none,none,0 to 2,male : married/widowed,>= 7 yrs,car or other,furniture/equipment,... >= 1000 DM,... >= 200 DM / salary for at least 1 year,no
good,25,8072,delay in paying off in the past,30,< 1 yr,no,rent,25 <= ... < 35,skilled employee/official,4-5,none,bank,0 to 2,male : married/widowed,4 <= ... < 7 yrs,building soc. savings agr. / life insurance,retraining,... >= 1000 DM,no checking account,no
bad,44,12579,no credits taken/all credits paid back duly,24,>= 7 yrs,no,own,< 20,manager/self-empl/highly qualif. employee,1,none,none,0 to 2,female : non-single or male : single,1 <= ... < 4 yrs,real estate,car (new),unknown/no savings account,... < 0 DM,yes (under customer name)
good,31,3430,no credits taken/all credits paid back duly,24,>= 7 yrs,no,rent,20 <= ... < 25,skilled employee/official,1,none,none,3 or more,male : married/widowed,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,furniture/equipment,100 <= ... < 500 DM,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,48,2134,all credits at this bank paid back duly,9,1 <= ... < 4 yrs,no,rent,< 20,skilled employee/official,4-5,none,none,0 to 2,male : married/widowed,>= 7 yrs,building soc. savings agr. / life insurance,others,unknown/no savings account,... >= 200 DM / salary for at least 1 year,yes (under customer name)
good,44,2647,no credits taken/all credits paid back duly,6,1 <= ... < 4 yrs,no,for free,25 <= ... < 35,skilled employee/official,1,none,none,3 or more,male : married/widowed,4 <= ... < 7 yrs,unknown / no property,furniture/equipment,100 <= ... < 500 DM,no checking account,no
good,48,2241,all credits at this bank paid back duly,10,< 1 yr,yes,for free,>= 35,unskilled - resident,2-3,none,none,3 or more,male : married/widowed,4 <= ... < 7 yrs,unknown / no property,others,unknown/no savings account,no checking account,no
good,44,1804,all credits at this bank paid back duly,12,< 1 yr,no,rent,20 <= ... < 25,skilled employee/official,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,car or other,car (new),... < 100 DM,... < 0 DM,no
good,26,2069,all credits at this bank paid back duly,10,1 <= ... < 4 yrs,yes,rent,25 <= ... < 35,skilled employee/official,2-3,none,none,0 to 2,female : single,< 1 yr,building soc. savings agr. / life insurance,car (used),... >= 1000 DM,... >= 200 DM / salary for at least 1 year,no
good,36,1374,no credits taken/all credits paid back duly,6,1 <= ... < 4 yrs,no,rent,>= 35,unskilled - resident,1,none,bank,0 to 2,male : married/widowed,1 <= ... < 4 yrs,unknown / no property,car (used),unknown/no savings account,no checking account,yes (under customer name)
good,39,426,delay in paying off in the past,6,>= 7 yrs,no,rent,< 20,unskilled - resident,1,none,none,0 to 2,female : single,>= 7 yrs,building soc. savings agr. / life insurance,furniture/equipment,unknown/no savings account,... >= 200 DM / salary for at least 1 year,no
good,42,409,critical account/other credits elsewhere,12,1 <= ... < 4 yrs,no,for free,20 <= ... < 25,skilled employee/official,2-3,none,none,0 to 2,female : non-single or male : single,4 <= ... < 7 yrs,unknown / no property,furniture/equipment,500 <= ... < 1000 DM,0<= ... < 200 DM,no
good,34,2415,no credits taken/all credits paid back duly,7,1 <= ... < 4 yrs,no,rent,20 <= ... < 25,skilled employee/official,1,guarantor,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,unknown / no property,furniture/equipment,unknown/no savings account,... < 0 DM,no
bad,63,6836,existing credits paid back duly till now,60,>= 7 yrs,no,rent,20 <= ... < 25,skilled employee/official,2-3,none,none,0 to 2,male : married/widowed,>= 7 yrs,real estate,retraining,unknown/no savings account,no checking account,yes (under customer name)
good,36,1913,no credits taken/all credits paid back duly,18,< 1 yr,no,rent,20 <= ... < 25,skilled employee/official,1,none,bank,0 to 2,female : single,4 <= ... < 7 yrs,unknown / no property,retraining,500 <= ... < 1000 DM,... < 0 DM,yes (under customer name)
good,27,4020,no credits taken/all credits paid back duly,24,1 <= ... < 4 yrs,no,rent,25 <= ... < 35,skilled employee/official,1,none,stores,0 to 2,male : married/widowed,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,car (used),unknown/no savings account,no checking account,no
good,30,5866,no credits taken/all credits paid back duly,18,1 <= ... < 4 yrs,no,rent,25 <= ... < 35,skilled employee/official,2-3,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,building soc. savings agr. / life insurance,others,... < 100 DM,... < 0 DM,yes (under customer name)
good,57,1264,all credits at this bank paid back duly,12,>= 7 yrs,no,for free,< 20,unskilled - resident,1,none,none,0 to 2,male : married/widowed,>= 7 yrs,real estate,retraining,... >= 1000 DM,... >= 200 DM / salary for at least 1 year,no
good,33,1474,no credits taken/all credits paid back duly,12,< 1 yr,no,rent,< 20,manager/self-empl/highly qualif. employee,1,none,bank,0 to 2,female : non-single or male : single,< 1 yr,car or other,car (used),unknown/no savings account,0<= ... < 200 DM,yes (under customer name)
bad,25,4746,all credits at this bank paid back duly,45,< 1 yr,no,rent,< 20,unskilled - resident,2-3,none,none,0 to 2,male : married/widowed,1 <= ... < 4 yrs,car or other,furniture/equipment,unknown/no savings account,... < 0 DM,no
