词语,极性,强度
创新,Positive,0.95
推动,Positive,0.80
发展,Positive,0.85
提升,Positive,0.75
赋能,Positive,0.70
带来,Positive,0.65
加快,Positive,0.70
融合,Positive,0.60
升级,Positive,0.75
打造,Positive,0.80
优化,Positive,0.75
驱动,Positive,0.70
突破,Positive,0.90
引领,Positive,0.95
增强,Positive,0.70
解决,Positive,0.75
支持,Positive,0.60
助力,Positive,0.65
创造,Positive,0.85
引导,Positive,0.60
成功,Positive,0.90
变革,Positive,0.80
应对,Positive,0.55
潜力,Positive,0.70
竞争力,Positive,0.75
展现,Positive,0.65
涌现,Positive,0.60
准确,Positive,0.70
优势,Positive,0.75
普及,Positive,0.65
开放,Positive,0.70
成果,Positive,0.80
先进,Positive,0.75
智慧,Positive,0.85
繁荣,Positive,0.90
前沿,Positive,0.80
深度,Positive,0.65
强化,Positive,0.70
智能化,Positive,0.90
革新,Positive,0.95
颠覆,Positive,0.85
协同,Positive,0.65
可信,Positive,0.75
透明度,Positive,0.70
便利,Positive,0.65
投资,Positive,0.70
协作,Positive,0.65
标准化,Positive,0.50
信任,Positive,0.80
接受度,Positive,0.65
期待,Positive,0.75
激励,Positive,0.70
可持续,Positive,0.75
风险,Negative,0.70
挑战,Negative,0.65
困难,Negative,0.70
控制,Negative,0.40
监管,Negative,0.45
法律,Negative,0.40
规则,Negative,0.35
取代,Negative,0.65
伦理,Negative,0.75
隐私,Negative,0.90
缺陷,Negative,0.70
失控,Negative,0.85
错误,Negative,0.70
难以,Negative,0.65
悲观,Negative,0.80
担忧,Negative,0.85
不安,Negative,0.80
抑制,Negative,0.50
限制,Negative,0.55
负面,Negative,0.75
忧虑,Negative,0.80
抵触,Negative,0.70
纷纷,Negative,0.45
弊端,Negative,0.70
偏见,Negative,0.75
歧视,Negative,0.85
滥用,Negative,0.80
黑箱,Negative,0.75
误导,Negative,0.70
不可控,Negative,0.85
泄露,Negative,0.90
侵犯,Negative,0.90
垄断,Negative,0.80
欺诈,Negative,0.85
偏颇,Negative,0.70
威胁,Negative,0.85
不透明,Negative,0.75
失控感,Negative,0.80
局限,Negative,0.60
低效,Negative,0.65
滞后,Negative,0.60
封闭,Negative,0.55
争议,Negative,0.70
负面影响,Negative,0.75
失业,Negative,0.85
恐惧,Negative,0.90
复杂性,Negative,0.65
不确定性,Negative,0.75
误判,Negative,0.70
漏洞,Negative,0.75
依赖,Negative,0.65
排斥,Negative,0.70
质疑,Negative,0.65
不公,Negative,0.80
成本,Negative,0.60
孤立,Negative,0.65
不适,Negative,0.70
过热,Negative,0.65
失衡,Negative,0.70
