"","docname","from","to","pre","keyword","post","pattern"
"1","“人工智能+”赋能千行百业.txt",623,623,"实施 人工智能 推动 桂林版 昇腾","deepseek","全国产化 大模型 落地 大模型 正式","deepseek"
"2","“人工智能+”赋能千行百业.txt",654,654,"计算 成功 部署 桂林版 昇腾","deepseek","大模型 deepseek r1 大模型 ai","deepseek"
"3","“人工智能+”赋能千行百业.txt",656,656,"部署 桂林版 昇腾 deepseek 大模型","deepseek","r1 大模型 ai 赋能 企业","deepseek"
"4","AI是医生的助手，还是替代者.txt",6,6,"ai 医生 助手 替代者 来源","deepseek","代表 ai 技术 医疗 领域","deepseek"
"5","AI是医生的助手，还是替代者.txt",20,20,"不少 健康 困惑 试着 问问","deepseek","意见 未来 deepseek 程度 取代","deepseek"
"6","AI是医生的助手，还是替代者.txt",23,23,"试着 问问 deepseek 意见 未来","deepseek","程度 取代 医生 人工智能 医疗","deepseek"
"7","AI是医生的助手，还是替代者.txt",37,37,"作用 ai 医疗 建议 仅供参考","deepseek","程度 取代 医生 先来 deepseek","deepseek"
"8","AI是医生的助手，还是替代者.txt",42,42,"deepseek 程度 取代 医生 先来","deepseek","回答 原因 deepseek 提供 信息","deepseek"
"9","AI是医生的助手，还是替代者.txt",45,45,"医生 先来 deepseek 回答 原因","deepseek","提供 信息 公开 数据 算法","deepseek"
"10","AI是医生的助手，还是替代者.txt",82,82,"鉴别 诊断 取代 医生 越来越","deepseek","辅助工具 寻求 健康 信息 治疗","deepseek"
"11","AI是医生的助手，还是替代者.txt",92,92,"治疗 方案 医生 告诉 记者","deepseek","问询 医生 讨论 病情 病人","deepseek"
"12","AI是医生的助手，还是替代者.txt",100,100,"讨论 病情 病人 确实 病人","deepseek","给出 答案 质疑 过度 检查","deepseek"
"13","AI是医生的助手，还是替代者.txt",109,109,"过度 检查 心理医生 透露 病人","deepseek","心理咨询 浅层 情感 回应 全世界","deepseek"
"14","AI是医生的助手，还是替代者.txt",130,130,"gemini claude3 正 患者 准确性","deepseek","自我剖析 所说 提供 信息 支持","deepseek"
"15","AI是医生的助手，还是替代者.txt",142,142,"个性化 诊断 治疗 记者 询问","deepseek","体检 发现 毫米 肺部 结节","deepseek"
"16","AI是医生的助手，还是替代者.txt",260,260,"院 近日 医院 内网 搭建","deepseek","本地化 部署 环境 提升 医疗","deepseek"
"17","AI是医生的助手，还是替代者.txt",277,277,"信息处 处长 俞磊 告诉 记者","deepseek","代表 人工智能 将会 辅助 诊断","deepseek"
"18","AI是医生的助手，还是替代者.txt",315,315,"形式 患者 情况 就医 需求","deepseek","预 门诊 变得 个性化 六院","deepseek"
"19","AI是医生的助手，还是替代者.txt",328,328,"所在地 骨科 亚 学科分类 细致","deepseek","模型 精调 原有 智能 分诊","deepseek"
"20","AI是医生的助手，还是替代者.txt",341,341,"技术支持 患者 找到 适合 医生","deepseek","患者 就诊 过程 担当 虚拟","deepseek"
"21","AI是医生的助手，还是替代者.txt",359,359,"时间 未来 患者 医疗 场景","deepseek","唤醒 融入 各个环节 无感 俞","deepseek"
"22","AI是医生的助手，还是替代者.txt",379,379,"红 ai 患者 助理 接入","deepseek","r1 大模型 登录 医院 微信","deepseek"
"23","AI是医生的助手，还是替代者.txt",435,435,"第一 人民 医院 相继 部署","deepseek","北京 全国 首个 ai 儿科医生","deepseek"
"24","AI挺进智造深水区，打造产业发展新范式.txt",10,10,"打造 产业 发展 新范式 来源","deepseek","deepseek 大模型 摆脱 算力 卡脖子","deepseek"
"25","AI挺进智造深水区，打造产业发展新范式.txt",11,11,"产业 发展 新范式 来源 deepseek","deepseek","大模型 摆脱 算力 卡脖子 难题","deepseek"
"26","AI挺进智造深水区，打造产业发展新范式.txt",21,21,"难题 规范 大模型 全国 两会","deepseek","火爆 出圈 政府 工作 报告","deepseek"
