instant,dteday,year,season,month,weekday,holiday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,2011,spring,January,Saturday,0,0,Clouds/Mist,14,18,81,11,331,654,985
2,2011-01-02,2011,spring,January,Sunday,0,0,Clouds/Mist,15,18,70,17,131,670,801
3,2011-01-03,2011,spring,January,Monday,0,1,Good,8,9,44,17,120,1229,1349
4,2011-01-04,2011,spring,January,Tuesday,0,1,Good,8,11,59,11,108,1454,1562
5,2011-01-05,2011,spring,January,Wednesday,0,1,Good,9,11,44,13,82,1518,1600
6,2011-01-06,2011,spring,January,Thursday,0,1,Good,8,12,52,6,88,1518,1606
7,2011-01-07,2011,spring,January,Friday,0,1,Clouds/Mist,8,10,50,11,148,1362,1510
8,2011-01-08,2011,spring,January,Saturday,0,0,Clouds/Mist,7,8,54,18,68,891,959
9,2011-01-09,2011,spring,January,Sunday,0,0,Good,6,6,43,24,54,768,822
10,2011-01-10,2011,spring,January,Monday,0,1,Good,6,8,48,15,41,1280,1321
11,2011-01-11,2011,spring,January,Tuesday,0,1,Clouds/Mist,7,10,69,8,43,1220,1263
12,2011-01-12,2011,spring,January,Wednesday,0,1,Good,7,8,60,20,25,1137,1162
13,2011-01-13,2011,spring,January,Thursday,0,1,Good,7,8,47,20,38,1368,1406
14,2011-01-14,2011,spring,January,Friday,0,1,Good,7,9,54,8,54,1367,1421
15,2011-01-15,2011,spring,January,Saturday,0,0,Clouds/Mist,10,12,50,11,222,1026,1248
16,2011-01-16,2011,spring,January,Sunday,0,0,Good,9,12,48,13,251,953,1204
17,2011-01-17,2011,spring,January,Monday,1,0,Clouds/Mist,7,9,54,13,117,883,1000
18,2011-01-18,2011,spring,January,Tuesday,0,1,Clouds/Mist,9,12,86,10,9,674,683
19,2011-01-19,2011,spring,January,Wednesday,0,1,Clouds/Mist,12,15,74,14,78,1572,1650
20,2011-01-20,2011,spring,January,Thursday,0,1,Clouds/Mist,11,13,54,13,83,1844,1927
21,2011-01-21,2011,spring,January,Friday,0,1,Good,7,8,46,24,75,1468,1543
22,2011-01-22,2011,spring,January,Saturday,0,0,Good,2,4,40,12,93,888,981
23,2011-01-23,2011,spring,January,Sunday,0,0,Good,4,5,44,17,150,836,986
24,2011-01-24,2011,spring,January,Monday,0,1,Good,4,6,49,11,86,1330,1416
25,2011-01-25,2011,spring,January,Tuesday,0,1,Clouds/Mist,9,12,62,9,186,1799,1985
26,2011-01-26,2011,spring,January,Wednesday,0,1,Rain/Snow/Storm,9,10,86,20,34,472,506
27,2011-01-27,2011,spring,January,Thursday,0,1,Good,8,11,69,8,15,416,431
28,2011-01-28,2011,spring,January,Friday,0,1,Clouds/Mist,8,11,79,8,38,1129,1167
29,2011-01-29,2011,spring,January,Saturday,0,0,Good,8,11,65,10,123,975,1098
30,2011-01-30,2011,spring,January,Sunday,0,0,Good,9,13,72,5,140,956,1096
31,2011-01-31,2011,spring,January,Monday,0,1,Clouds/Mist,7,9,60,13,42,1459,1501
32,2011-02-01,2011,spring,February,Tuesday,0,1,Clouds/Mist,8,12,83,4,47,1313,1360
33,2011-02-02,2011,spring,February,Wednesday,0,1,Clouds/Mist,11,13,78,18,72,1454,1526
34,2011-02-03,2011,spring,February,Thursday,0,1,Good,8,9,44,19,61,1489,1550
35,2011-02-04,2011,spring,February,Friday,0,1,Clouds/Mist,9,11,59,9,88,1620,1708
36,2011-02-05,2011,spring,February,Saturday,0,0,Clouds/Mist,10,12,93,11,100,905,1005
37,2011-02-06,2011,spring,February,Sunday,0,0,Good,12,15,57,10,354,1269,1623
38,2011-02-07,2011,spring,February,Monday,0,1,Good,11,15,74,3,120,1592,1712
39,2011-02-08,2011,spring,February,Tuesday,0,1,Good,9,10,54,24,64,1466,1530
40,2011-02-09,2011,spring,February,Wednesday,0,1,Clouds/Mist,6,7,49,13,53,1552,1605
41,2011-02-10,2011,spring,February,Thursday,0,1,Good,6,7,44,15,47,1491,1538
42,2011-02-11,2011,spring,February,Friday,0,1,Good,8,11,51,7,149,1597,1746
43,2011-02-12,2011,spring,February,Saturday,0,0,Good,9,12,54,14,288,1184,1472
44,2011-02-13,2011,spring,February,Sunday,0,0,Good,13,16,46,17,397,1192,1589
45,2011-02-14,2011,spring,February,Monday,0,1,Good,17,20,38,28,208,1705,1913
46,2011-02-15,2011,spring,February,Tuesday,0,1,Good,11,13,31,20,140,1675,1815
47,2011-02-16,2011,spring,February,Wednesday,0,1,Good,13,16,42,17,218,1897,2115
48,2011-02-17,2011,spring,February,Thursday,0,1,Good,18,21,50,15,259,2216,2475
49,2011-02-18,2011,spring,February,Friday,0,1,Good,21,26,52,18,579,2348,2927
50,2011-02-19,2011,spring,February,Saturday,0,0,Good,16,20,19,34,532,1103,1635
51,2011-02-20,2011,spring,February,Sunday,0,0,Good,12,14,41,15,639,1173,1812
52,2011-02-21,2011,spring,February,Monday,1,0,Clouds/Mist,12,14,60,21,195,912,1107
53,2011-02-22,2011,spring,February,Tuesday,0,1,Good,7,9,58,13,74,1376,1450
54,2011-02-23,2011,spring,February,Wednesday,0,1,Good,9,12,42,6,139,1778,1917
55,2011-02-24,2011,spring,February,Thursday,0,1,Clouds/Mist,12,14,70,17,100,1707,1807
56,2011-02-25,2011,spring,February,Friday,0,1,Clouds/Mist,15,18,71,23,120,1341,1461
57,2011-02-26,2011,spring,February,Saturday,0,0,Good,12,14,54,13,424,1545,1969
58,2011-02-27,2011,spring,February,Sunday,0,0,Good,14,18,68,8,694,1708,2402
59,2011-02-28,2011,spring,February,Monday,0,1,Clouds/Mist,17,20,88,19,81,1365,1446
60,2011-03-01,2011,spring,March,Tuesday,0,1,Good,11,13,54,15,137,1714,1851
61,2011-03-02,2011,spring,March,Wednesday,0,1,Good,14,16,45,21,231,1903,2134
62,2011-03-03,2011,spring,March,Thursday,0,1,Good,8,10,32,15,123,1562,1685
63,2011-03-04,2011,spring,March,Friday,0,1,Clouds/Mist,11,13,61,14,214,1730,1944
64,2011-03-05,2011,spring,March,Saturday,0,0,Clouds/Mist,16,19,79,17,640,1437,2077
65,2011-03-06,2011,spring,March,Sunday,0,0,Clouds/Mist,15,18,95,23,114,491,605
66,2011-03-07,2011,spring,March,Monday,0,1,Good,11,12,55,23,244,1628,1872
67,2011-03-08,2011,spring,March,Tuesday,0,1,Good,12,15,42,8,316,1817,2133
68,2011-03-09,2011,spring,March,Wednesday,0,1,Clouds/Mist,12,14,78,15,191,1700,1891
69,2011-03-10,2011,spring,March,Thursday,0,1,Rain/Snow/Storm,16,19,0,18,46,577,623
70,2011-03-11,2011,spring,March,Friday,0,1,Clouds/Mist,13,15,65,16,247,1730,1977
71,2011-03-12,2011,spring,March,Saturday,0,0,Good,13,16,59,15,724,1408,2132
72,2011-03-13,2011,spring,March,Sunday,0,0,Good,16,19,53,18,982,1435,2417
73,2011-03-14,2011,spring,March,Monday,0,1,Good,13,17,50,9,359,1687,2046
74,2011-03-15,2011,spring,March,Tuesday,0,1,Clouds/Mist,13,16,66,12,289,1767,2056
75,2011-03-16,2011,spring,March,Wednesday,0,1,Clouds/Mist,15,18,78,14,321,1871,2192
76,2011-03-17,2011,spring,March,Thursday,0,1,Good,17,21,60,14,424,2320,2744
77,2011-03-18,2011,spring,March,Friday,0,1,Good,22,26,53,15,884,2355,3239
