cmedv,age,b,chas,crim,dis,indus,lat,lon,lstat,nox,ptratio,rad,rm,tax,town,tract,zn
24,65.2,396.9,0,0.00632,4.09,2.31,42.255,-70.955,4.98,0.538,15.3,1,6.575,296,Nahant,2011,18
21.6,78.9,396.9,0,0.02731,4.9671,7.07,42.2875,-70.95,9.14,0.469,17.8,2,6.421,242,Swampscott,2021,0
34.7,61.1,392.83,0,0.02729,4.9671,7.07,42.283,-70.936,4.03,0.469,17.8,2,7.185,242,Swampscott,2022,0
33.4,45.8,394.63,0,0.03237,6.0622,2.18,42.293,-70.928,2.94,0.458,18.7,3,6.998,222,Marblehead,2031,0
36.2,54.2,396.9,0,0.06905,6.0622,2.18,42.298,-70.922,5.33,0.458,18.7,3,7.147,222,Marblehead,2032,0
28.7,58.7,394.12,0,0.02985,6.0622,2.18,42.304,-70.9165,5.21,0.458,18.7,3,6.43,222,Marblehead,2033,0
22.9,66.6,395.6,0,0.08829,5.5605,7.87,42.297,-70.936,12.43,0.524,15.2,5,6.012,311,Salem,2041,12.5
22.1,96.1,396.9,0,0.14455,5.9505,7.87,42.31,-70.9375,19.15,0.524,15.2,5,6.172,311,Salem,2042,12.5
16.5,100,386.63,0,0.21124,6.0821,7.87,42.312,-70.933,29.93,0.524,15.2,5,5.631,311,Salem,2043,12.5
18.9,85.9,386.71,0,0.17004,6.5921,7.87,42.316,-70.929,17.1,0.524,15.2,5,6.004,311,Salem,2044,12.5
15,94.3,392.52,0,0.22489,6.3467,7.87,42.316,-70.935,20.45,0.524,15.2,5,6.377,311,Salem,2045,12.5
18.9,82.9,396.9,0,0.11747,6.2267,7.87,42.317,-70.944,13.27,0.524,15.2,5,6.009,311,Salem,2046,12.5
21.7,39,390.5,0,0.09378,5.4509,7.87,42.306,-70.951,15.71,0.524,15.2,5,5.889,311,Salem,2047,12.5
20.4,61.8,396.9,0,0.62976,4.7075,8.14,42.292,-70.9645,8.26,0.538,21,4,5.949,307,Lynn,2051,0
18.2,84.5,380.02,0,0.63796,4.4619,8.14,42.287,-70.972,10.26,0.538,21,4,6.096,307,Lynn,2052,0
19.9,56.5,395.62,0,0.62739,4.4986,8.14,42.294,-70.9765,8.47,0.538,21,4,5.834,307,Lynn,2053,0
23.1,29.3,386.85,0,1.05393,4.4986,8.14,42.2985,-70.987,6.58,0.538,21,4,5.935,307,Lynn,2054,0
17.5,81.7,386.75,0,0.7842,4.2579,8.14,42.285,-70.978,14.67,0.538,21,4,5.99,307,Lynn,2055,0
20.2,36.6,288.99,0,0.80271,3.7965,8.14,42.2825,-70.9925,11.69,0.538,21,4,5.456,307,Lynn,2056,0
18.2,69.5,390.95,0,0.7258,3.7965,8.14,42.2776,-70.988,11.28,0.538,21,4,5.727,307,Lynn,2057,0
13.6,98.1,376.57,0,1.25179,3.7979,8.14,42.277,-70.9835,21.02,0.538,21,4,5.57,307,Lynn,2058,0
19.6,89.2,392.53,0,0.85204,4.0123,8.14,42.281,-70.982,13.83,0.538,21,4,5.965,307,Lynn,2059,0
15.2,91.7,396.9,0,1.23247,3.9769,8.14,42.279,-70.9775,18.72,0.538,21,4,6.142,307,Lynn,2060,0
14.5,100,394.54,0,0.98843,4.0952,8.14,42.279,-70.973,19.88,0.538,21,4,5.813,307,Lynn,2061,0
15.6,94.1,394.33,0,0.75026,4.3996,8.14,42.2816,-70.9693,16.3,0.538,21,4,5.924,307,Lynn,2062,0
13.9,85.7,303.42,0,0.84054,4.4546,8.14,42.284,-70.964,16.51,0.538,21,4,5.599,307,Lynn,2063,0
16.6,90.3,376.88,0,0.67191,4.682,8.14,42.287,-70.9597,14.81,0.538,21,4,5.813,307,Lynn,2064,0
14.8,88.8,306.38,0,0.95577,4.4534,8.14,42.2825,-70.9597,17.28,0.538,21,4,6.047,307,Lynn,2065,0
18.4,94.4,387.94,0,0.77299,4.4547,8.14,42.28,-70.957,12.8,0.538,21,4,6.495,307,Lynn,2066,0
21,87.3,380.23,0,1.00245,4.239,8.14,42.278,-70.951,11.98,0.538,21,4,6.674,307,Lynn,2067,0
12.7,94.1,360.17,0,1.13081,4.233,8.14,42.279,-70.967,22.6,0.538,21,4,5.713,307,Lynn,2068,0
14.5,100,376.73,0,1.35472,4.175,8.14,42.2765,-70.964,13.04,0.538,21,4,6.072,307,Lynn,2069,0
13.2,82,232.6,0,1.38799,3.99,8.14,42.2765,-70.972,27.71,0.538,21,4,5.95,307,Lynn,2070,0
13.1,95,358.77,0,1.15172,3.7872,8.14,42.276,-70.9795,18.35,0.538,21,4,5.701,307,Lynn,2071,0
13.5,96.9,248.31,0,1.61282,3.7598,8.14,42.272,-70.9775,20.34,0.538,21,4,6.096,307,Lynn,2072,0
18.9,68.2,396.9,0,0.06417,3.3603,5.96,42.27,-71,9.68,0.499,19.2,5,5.933,279,Sargus,2081,0
20,61.4,377.56,0,0.09744,3.3779,5.96,42.2745,-71.008,11.41,0.499,19.2,5,5.841,279,Sargus,2082,0
21,41.5,396.9,0,0.08014,3.9342,5.96,42.2865,-71.004,8.77,0.499,19.2,5,5.85,279,Sargus,2083,0
24.2,30.2,393.43,0,0.17505,3.8473,5.96,42.2875,-71.02,10.13,0.499,19.2,5,5.966,279,Sargus,2084,0
30.8,21.8,395.63,0,0.02763,5.4011,2.95,42.313,-71.013,4.32,0.428,18.3,3,6.595,252,Lynnfield,2091,75
34.9,15.8,395.62,0,0.03359,5.4011,2.95,42.324,-71.03,1.98,0.428,18.3,3,7.024,252,Lynnfield,2092,75
26.6,2.9,385.41,0,0.12744,5.7209,6.91,42.335,-71.004,4.84,0.448,17.9,3,6.77,233,Peabody,2101,0
25.3,6.6,383.37,0,0.1415,5.7209,6.91,42.3235,-71.003,5.81,0.448,17.9,3,6.169,233,Peabody,2102,0
24.7,6.5,394.46,0,0.15936,5.7209,6.91,42.3237,-70.9775,7.44,0.448,17.9,3,6.211,233,Peabody,2103,0
21.2,40,389.39,0,0.12269,5.7209,6.91,42.317,-70.9675,9.55,0.448,17.9,3,6.069,233,Peabody,2104,0
19.3,33.8,396.9,0,0.17142,5.1004,6.91,42.3075,-70.9725,10.21,0.448,17.9,3,5.682,233,Peabody,2105,0
20,33.3,396.9,0,0.18836,5.1004,6.91,42.3075,-70.965,14.15,0.448,17.9,3,5.786,233,Peabody,2106,0
16.6,85.5,392.74,0,0.22927,5.6894,6.91,42.3125,-70.956,18.8,0.448,17.9,3,6.03,233,Peabody,2107,0
14.4,95.3,396.9,0,0.25387,5.87,6.91,42.3165,-70.955,30.81,0.448,17.9,3,5.399,233,Peabody,2108,0
19.4,62,396.9,0,0.21977,6.0877,6.91,42.3208,-70.9525,16.2,0.448,17.9,3,5.602,233,Peabody,2109,0
19.7,45.7,395.56,0,0.08873,6.8147,5.64,42.334,-70.951,13.45,0.439,16.8,4,5.963,243,Danvers,2111,21
20.5,63,393.97,0,0.04337,6.8147,5.64,42.3382,-70.963,9.43,0.439,16.8,4,6.115,243,Danvers,2112,21
25,21.1,396.9,0,0.0536,6.8147,5.64,42.346,-70.958,5.28,0.439,16.8,4,6.511,243,Danvers,2113,21
23.4,21.4,396.9,0,0.04981,6.8147,5.64,42.3425,-70.978,8.43,0.439,16.8,4,5.998,243,Danvers,2114,21
18.9,47.6,396.9,0,0.0136,7.3197,4,42.3715,-71.0175,14.8,0.41,21.1,3,5.888,469,Middleton,2121,75
35.4,21.9,395.93,0,0.01311,8.6966,1.22,42.381,-70.9625,4.81,0.403,17.9,5,7.249,226,Topsfield,2141,90
24.7,35.7,396.9,0,0.02055,9.1876,0.74,42.374,-70.93,5.77,0.41,17.3,2,6.383,313,Hamilton,2151,85
31.6,40.5,392.9,0,0.01432,8.3248,1.32,42.3715,-70.9295,3.95,0.411,15.1,5,6.816,256,Wenham,2161,100
23.3,29.2,390.68,0,0.15445,7.8148,5.13,42.346,-70.9385,6.86,0.453,19.7,8,6.145,284,Beverly,2171,25
19.6,47.2,396.9,0,0.10328,6.932,5.13,42.332,-70.94,9.22,0.453,19.7,8,5.927,284,Beverly,2172,25
18.7,66.2,395.11,0,0.14932,7.2254,5.13,42.337,-70.93,13.15,0.453,19.7,8,5.741,284,Beverly,2173,25
16,93.4,378.08,0,0.17171,6.8185,5.13,42.3275,-70.93,14.44,0.453,19.7,8,5.966,284,Beverly,2174,25
22.2,67.8,396.9,0,0.11027,7.2255,5.13,42.332,-70.9215,6.73,0.453,19.7,8,6.456,284,Beverly,2175,25
25,43.4,395.58,0,0.1265,7.9809,5.13,42.339,-70.9075,9.5,0.453,19.7,8,6.762,284,Beverly,2176,25
33,59.5,393.24,0,0.01951,9.2229,1.38,42.345,-70.86,8.05,0.4161,18.6,3,7.104,216,Manchester,2181,17.5
23.5,17.8,396.9,0,0.03584,6.6115,3.37,42.345,-71.045,4.67,0.398,16.1,4,6.29,337,North Reading,3301,80
19.4,31.1,396.9,0,0.04379,6.6115,3.37,42.3525,-71.069,10.24,0.398,16.1,4,5.787,337,North Reading,3302,80
22,21.4,396.21,0,0.05789,6.498,6.07,42.3362,-71.09,8.1,0.409,18.9,4,5.878,345,Wilmington,3311,12.5
17.4,36.8,396.9,0,0.13554,6.498,6.07,42.34,-71.108,13.09,0.409,18.9,4,5.594,345,Wilmington,3312,12.5
20.9,33,396.9,0,0.12816,6.498,6.07,42.327,-71.111,8.79,0.409,18.9,4,5.885,345,Wilmington,3313,12.5
24.2,6.6,383.73,0,0.08826,5.2873,10.81,42.316,-71.121,6.72,0.413,19.2,4,6.417,305,Burlington,3321,0
21.7,17.5,376.94,0,0.15876,5.2873,10.81,42.3008,-71.1095,9.88,0.413,19.2,4,5.961,305,Burlington,3322,0
22.8,7.8,390.91,0,0.09164,5.2873,10.81,42.305,-71.13,5.52,0.413,19.2,4,6.065,305,Burlington,3323,0
23.4,6.2,377.17,0,0.19539,5.2873,10.81,42.292,-71.123,7.54,0.413,19.2,4,6.245,305,Burlington,3324,0
24.1,6,394.92,0,0.07896,4.2515,12.83,42.289,-71.1105,6.78,0.437,18.7,5,6.273,398,Woburn,3331,0
21.4,45,383.23,0,0.09512,4.5026,12.83,42.2875,-71.1,8.94,0.437,18.7,5,6.286,398,Woburn,3332,0
20,74.5,373.66,0,0.10153,4.0522,12.83,42.2835,-71.09,11.97,0.437,18.7,5,6.279,398,Woburn,3333,0
20.8,45.8,386.96,0,0.08707,4.0905,12.83,42.2895,-71.076,10.27,0.437,18.7,5,6.14,398,Woburn,3334,0
21.2,53.7,386.4,0,0.05646,5.0141,12.83,42.295,-71.0905,12.34,0.437,18.7,5,6.232,398,Woburn,3335,0
20.3,36.6,396.06,0,0.08387,4.5026,12.83,42.305,-71.091,9.1,0.437,18.7,5,5.874,398,Woburn,3336,0
28,33.5,396.9,0,0.04113,5.4007,4.86,42.308,-71.0685,5.29,0.426,19,4,6.727,281,Reading,3341,25
23.9,70.4,395.63,0,0.04462,5.4007,4.86,42.315,-71.069,7.22,0.426,19,4,6.619,281,Reading,3342,25
24.8,32.2,396.9,0,0.03659,5.4007,4.86,42.326,-71.0675,6.72,0.426,19,4,6.302,281,Reading,3343,25
22.9,46.7,390.64,0,0.03551,5.4007,4.86,42.317,-71.0575,7.51,0.426,19,4,6.167,281,Reading,3344,25
23.9,48,396.9,0,0.05059,4.7794,4.49,42.3075,-71.043,9.62,0.449,18.5,3,6.389,247,Wakefield,3351,0
26.6,56.1,392.3,0,0.05735,4.4377,4.49,42.3,-71.05,6.53,0.449,18.5,3,6.63,247,Wakefield,3352,0
22.5,45.1,395.99,0,0.05188,4.4272,4.49,42.305,-71.033,12.86,0.449,18.5,3,6.015,247,Wakefield,3353,0
22.2,56.8,395.15,0,0.07151,3.7476,4.49,42.2885,-71.039,8.44,0.449,18.5,3,6.121,247,Wakefield,3354,0
23.6,86.3,396.9,0,0.0566,3.4217,3.41,42.2796,-71.042,5.5,0.489,17.8,2,7.007,270,Melrose,3361,0
28.7,63.1,396.06,0,0.05302,3.4145,3.41,42.2785,-71.0345,5.7,0.489,17.8,2,7.079,270,Melrose,3362,0
22.6,66.1,392.18,0,0.04684,3.0923,3.41,42.272,-71.03,8.81,0.489,17.8,2,6.417,270,Melrose,3363,0
22,73.9,393.55,0,0.03932,3.0921,3.41,42.2715,-71.0425,8.2,0.489,17.8,2,6.405,270,Melrose,3364,0
22.9,53.6,395.01,0,0.04203,3.6659,15.04,42.283,-71.053,8.16,0.464,18.2,4,6.442,270,Stoneham,3371,28
25,28.9,396.33,0,0.02875,3.6659,15.04,42.296,-71.062,6.21,0.464,18.2,4,6.211,270,Stoneham,3372,28
